produto;preco;vendidos
Smartphone Samsung Galaxy A15;129900;85
Smartphone Motorola Moto G84;119900;72
Smartphone Xiaomi Redmi 13C;89900;95
Smartphone Samsung Galaxy A15;129900;61
Notebook Dell Inspiron 15;349900;28
Notebook Lenovo IdeaPad 3;299900;34
Notebook Acer Aspire 5;319900;22
Notebook Dell Inspiron 15;349900;19
Smart TV LG 50 4K;279900;41
Smart TV Samsung 55 4K;329900;37
Smart TV TCL 43 Full HD;179900;53
Smart TV LG 50 4K;279900;29
Tablet Samsung Galaxy Tab A9;149900;44
Tablet Lenovo Tab M10;99900;58
Tablet Samsung Galaxy Tab A9;149900;31
Fone de Ouvido JBL Tune 510BT;29900;120
Fone de Ouvido Sony WH-1000XM5;219900;18
Fone de Ouvido JBL Tune 510BT;29900;98
Fone de Ouvido Philips TAT1235;19900;140
Caixa de Som JBL Charge 5;89900;63
Caixa de Som Sony SRS-XB23;69900;47
Caixa de Som JBL Charge 5;89900;55
Smartwatch Samsung Galaxy Watch 6;149900;36
Smartwatch Xiaomi Redmi Watch 4;59900;74
Smartwatch Samsung Galaxy Watch 6;149900;27
Mouse Logitech MX Master 3;69900;82
Mouse Logitech M170 Sem Fio;12900;175
Mouse Logitech MX Master 3;69900;66
Teclado Mecânico Redragon Kumara;39900;91
Teclado Logitech K380;29900;103
Teclado Mecânico Redragon Kumara;39900;77
Monitor LG 24 Full HD;119900;49
Monitor Samsung 27 Full HD;139900;38
Monitor LG 24 Full HD;119900;42
HD Externo Seagate 1TB;39900;88
HD Externo WD 2TB;59900;64
HD Externo Seagate 1TB;39900;71
Pendrive Kingston 64GB;7900;210
Pendrive SanDisk 128GB;12900;183
Pendrive Kingston 64GB;7900;195
SSD Kingston 480GB;29900;106
SSD Samsung 500GB;37900;89
Roteador TP-Link Archer C6;24900;117
Roteador Intelbras ACtion RF1200;34900;96
Roteador TP-Link Archer C6;24900;108
Webcam Logitech C920;69900;52
Webcam Intelbras CAM-1080p;29900;79
Impressora HP DeskJet 2376;59900;33
Impressora Epson L3250;129900;26
Impressora HP DeskJet 2376;59900;21
Carregador Turbo 65W Anker;19900;154
Carregador Turbo 45W Samsung;14900;138
Carregador Turbo 65W Anker;19900;127
Cabo USB-C 2m Baseus;5900;220
Cabo USB-C 1m Samsung;4900;198
Cabo USB-C 2m Baseus;5900;241
Power Bank 20000mAh Anker;32900;87
Power Bank 10000mAh Xiaomi;19900;112
Power Bank 20000mAh Anker;32900;73
Console PlayStation 5;449900;15
Console Xbox Series S;329900;18
Console Nintendo Switch;249900;23
Controle Xbox Series sem fio;44900;57
Controle PS5 DualSense;44900;61
Controle Xbox Series sem fio;44900;48
Camera Digital Sony Cybershot;179900;14
Projetor Epson PowerLite;299900;11
Ar Condicionado Portabil Delonghi;279900;17
Caixa de Som Bluetooth Multilaser;14900;163
Fone Gamer HyperX Cloud II;59900;68
